assessment,assessment_status,type_of_assessment,is_custom,grade,module,curriculum,school,date_launched,date_completed,overall_points_achieved,overall_points_possible,overall_percentage,performance_band
"Grade 5, Module 3, Topic E Quiz 3",open,TQ,FALSE,5,3,em2ca,Crescent Cove Elementary School,7/19/25,7/19/25,7,7,100,advanced
"Grade 4, Module 1, Topic C Quiz 3",open,TQ,FALSE,4,1,em2ca,Sunflower Ridge Elementary School,11/5/25,11/5/25,2,12,17,not yet proficient
"Grade 3, Module 2, Topic D Quiz 2",open,TQ,FALSE,3,2,em2ca,Riverbend Elementary School,4/15/25,4/15/25,5,12,42,not yet proficient
"Grade 5, Module 6, Topic F Quiz 1",open,TQ,FALSE,5,6,em2ca,Periwinkle Elementary School,7/10/25,7/10/25,6,9,67,proficient
"Grade 5, Module 1, Topic B Quiz 1",open,TQ,FALSE,5,1,em2ca,Quartz Creek Elementary School,8/15/25,8/15/25,4,9,44,not yet proficient
"Grade 3, Module 6, Topic E Quiz 3",open,TQ,FALSE,3,6,em2ca,Sequoia Elementary School,2/15/25,2/15/25,8,12,67,proficient
"Grade 3, Module 6, Topic B Quiz 1",open,TQ,FALSE,3,6,em2ca,Birchwood Elementary School,2/2/25,2/2/25,1,13,8,not yet proficient
"Grade 5, Module 3, Topic E Quiz 1",open,TQ,FALSE,5,3,em2ca,Heritage Pines Elementary School,2/13/25,2/13/25,7,8,88,advanced
"Grade 5, Module 6, Topic F Quiz 2",open,TQ,FALSE,5,6,em2ca,Lantern Hill Elementary School,3/19/25,3/19/25,6,8,75,proficient
"Grade 4, Module 4, Topic B Quiz 1",open,TQ,FALSE,4,4,em2ca,Crescent Cove Elementary School,7/4/25,7/4/25,5,6,83,advanced
"Grade 4, Module 6, Topic B Quiz 3",open,TQ,FALSE,4,6,em2ca,Driftwood Elementary School,9/15/25,9/15/25,8,10,80,advanced
"Grade 4, Module 5, Topic A Quiz 3",open,TQ,FALSE,4,5,em2ca,Periwinkle Elementary School,5/26/25,5/26/25,9,13,69,proficient
"Grade 4, Module 6, Topic D Quiz 1",open,TQ,FALSE,4,6,em2ca,Periwinkle Elementary School,11/25/25,11/25/25,5,10,50,partially proficient
"Grade 5, Module 5, Topic C Quiz 2",open,TQ,FALSE,5,5,em2ca,Sunflower Ridge Elementary School,5/13/25,5/13/25,5,18,28,not yet proficient
"Grade 4, Module 3, Topic D Quiz 3",open,TQ,FALSE,4,3,em2ca,Sequoia Elementary School,2/24/25,2/24/25,10,13,77,proficient
"Grade 4, Module 1, Topic F Quiz 2",open,TQ,FALSE,4,1,em2ca,Riverbend Elementary School,7/10/25,7/10/25,5,7,71,proficient
"Grade 5, Module 2, Topic E Quiz 1",open,TQ,FALSE,5,2,em2ca,Sequoia Elementary School,7/13/25,7/13/25,10,10,100,advanced
"Grade 5, Module 6, Topic E Quiz 2",open,TQ,FALSE,5,6,em2ca,Heritage Pines Elementary School,1/17/25,1/17/25,9,10,90,advanced
"Grade 3, Module 4, Topic F Quiz 3",open,TQ,FALSE,3,4,em2ca,Heritage Pines Elementary School,10/28/25,10/28/25,7,10,70,proficient
"Grade 3, Module 4, Topic B Quiz 1",open,TQ,FALSE,3,4,em2ca,Glacier Peak Elementary School,11/26/25,11/26/25,3,8,38,not yet proficient
"Grade 3, Module 1, Topic C Quiz 2",open,TQ,FALSE,3,1,em2ca,Marigold Elementary School,5/2/25,5/2/25,5,9,56,partially proficient
"Grade 4, Module 2, Topic D Quiz 1",open,TQ,FALSE,4,2,em2ca,Crescent Cove Elementary School,7/6/25,7/6/25,12,12,100,advanced
"Grade 5, Module 2, Topic F Quiz 2",open,TQ,FALSE,5,2,em2ca,Sunflower Ridge Elementary School,1/21/25,1/21/25,4,9,44,not yet proficient
"Grade 4, Module 5, Topic A Quiz 3",open,TQ,FALSE,4,5,em2ca,Sequoia Elementary School,1/8/25,1/8/25,5,8,63,partially proficient
"Grade 5, Module 1, Topic C Quiz 2",open,TQ,FALSE,5,1,em2ca,Birchwood Elementary School,3/14/25,3/14/25,4,8,50,partially proficient
"Grade 3, Module 1, Topic A Quiz 1",open,TQ,FALSE,3,1,em2ca,Heritage Pines Elementary School,2/20/25,2/20/25,14,17,82,advanced
"Grade 5, Module 5, Topic C Quiz 2",open,TQ,FALSE,5,5,em2ca,Thornberry Elementary School,10/14/25,10/14/25,4,15,27,not yet proficient
"Grade 3, Module 3, Topic E Quiz 3",open,TQ,FALSE,3,3,em2ca,Sunflower Ridge Elementary School,7/16/25,7/16/25,1,13,8,not yet proficient
"Grade 4, Module 5, Topic B Quiz 1",open,TQ,FALSE,4,5,em2ca,Heritage Pines Elementary School,11/26/25,11/26/25,7,9,78,proficient
"Grade 5, Module 1, Topic F Quiz 2",open,TQ,FALSE,5,1,em2ca,Birchwood Elementary School,5/4/25,5/4/25,4,9,44,not yet proficient
"Grade 5, Module 5, Topic C Quiz 2",open,TQ,FALSE,5,5,em2ca,Foxglen Elementary School,6/9/25,6/9/25,3,6,50,partially proficient
"Grade 4, Module 5, Topic B Quiz 2",open,TQ,FALSE,4,5,em2ca,Wildflower Elementary School,7/28/25,7/28/25,9,18,50,partially proficient
"Grade 3, Module 6, Topic E Quiz 1",open,TQ,FALSE,3,6,em2ca,Quartz Creek Elementary School,5/13/25,5/13/25,5,14,36,not yet proficient
"Grade 4, Module 4, Topic C Quiz 2",open,TQ,FALSE,4,4,em2ca,Glacier Peak Elementary School,8/14/25,8/14/25,5,11,45,partially proficient
"Grade 3, Module 1, Topic B Quiz 2",open,TQ,FALSE,3,1,em2ca,Birchwood Elementary School,9/5/25,9/5/25,1,7,14,not yet proficient
"Grade 3, Module 2, Topic C Quiz 3",open,TQ,FALSE,3,2,em2ca,Marigold Elementary School,2/15/25,2/15/25,13,15,87,advanced
"Grade 5, Module 2, Topic A Quiz 1",open,TQ,FALSE,5,2,em2ca,Quartz Creek Elementary School,9/24/25,9/24/25,7,13,54,partially proficient
"Grade 4, Module 3, Topic A Quiz 1",open,TQ,FALSE,4,3,em2ca,Heritage Pines Elementary School,9/15/25,9/15/25,16,17,94,advanced
"Grade 5, Module 1, Topic C Quiz 2",open,TQ,FALSE,5,1,em2ca,Driftwood Elementary School,4/7/25,4/7/25,7,8,88,advanced
"Grade 3, Module 3, Topic A Quiz 1",open,TQ,FALSE,3,3,em2ca,Songbird Meadows Elementary School,8/14/25,8/14/25,10,15,67,proficient
"Grade 3, Module 3, Topic C Quiz 3",open,TQ,FALSE,3,3,em2ca,Wildflower Elementary School,11/11/25,11/11/25,9,17,53,partially proficient
"Grade 5, Module 6, Topic A Quiz 1",open,TQ,FALSE,5,6,em2ca,Sequoia Elementary School,6/28/25,6/28/25,14,15,93,advanced
"Grade 4, Module 1, Topic A Quiz 2",open,TQ,FALSE,4,1,em2ca,Lantern Hill Elementary School,6/5/25,6/5/25,7,12,58,partially proficient
"Grade 4, Module 5, Topic A Quiz 2",open,TQ,FALSE,4,5,em2ca,Periwinkle Elementary School,10/11/25,10/11/25,8,13,62,partially proficient
"Grade 5, Module 3, Topic C Quiz 2",open,TQ,FALSE,5,3,em2ca,Glacier Peak Elementary School,2/24/25,2/24/25,5,6,83,advanced
"Grade 5, Module 1, Topic B Quiz 3",open,TQ,FALSE,5,1,em2ca,Periwinkle Elementary School,10/21/25,10/21/25,4,6,67,proficient
"Grade 5, Module 3, Topic B Quiz 3",open,TQ,FALSE,5,3,em2ca,Hawthorn Park Elementary School,11/25/25,11/25/25,9,11,82,advanced
"Grade 5, Module 3, Topic B Quiz 2",open,TQ,FALSE,5,3,em2ca,Marigold Elementary School,5/17/25,5/17/25,8,12,67,proficient
"Grade 5, Module 4, Topic C Quiz 3",open,TQ,FALSE,5,4,em2ca,Sunflower Ridge Elementary School,8/19/25,8/19/25,3,9,33,not yet proficient
"Grade 5, Module 1, Topic D Quiz 3",open,TQ,FALSE,5,1,em2ca,Quartz Creek Elementary School,6/25/25,6/25/25,5,8,63,partially proficient
"Grade 5, Module 2, Topic F Quiz 2",open,TQ,FALSE,5,2,em2ca,Copperfield Elementary School,2/23/25,2/23/25,13,17,76,proficient
"Grade 4, Module 2, Topic C Quiz 1",open,TQ,FALSE,4,2,em2ca,Hawthorn Park Elementary School,2/8/25,2/8/25,15,15,100,advanced
"Grade 4, Module 1, Topic D Quiz 3",open,TQ,FALSE,4,1,em2ca,Aspen Grove Elementary School,8/13/25,8/13/25,14,18,78,proficient
"Grade 5, Module 4, Topic C Quiz 1",open,TQ,FALSE,5,4,em2ca,Glacier Peak Elementary School,9/3/25,9/3/25,5,8,63,partially proficient
"Grade 3, Module 4, Topic E Quiz 3",open,TQ,FALSE,3,4,em2ca,Wildflower Elementary School,1/8/25,1/8/25,4,13,31,not yet proficient
"Grade 4, Module 1, Topic C Quiz 1",open,TQ,FALSE,4,1,em2ca,Copperfield Elementary School,10/8/25,10/8/25,5,13,38,not yet proficient
"Grade 3, Module 1, Topic F Quiz 3",open,TQ,FALSE,3,1,em2ca,Marigold Elementary School,11/21/25,11/21/25,5,9,56,partially proficient
"Grade 5, Module 1, Topic A Quiz 1",open,TQ,FALSE,5,1,em2ca,Sequoia Elementary School,3/23/25,3/23/25,16,16,100,advanced
"Grade 4, Module 3, Topic F Quiz 3",open,TQ,FALSE,4,3,em2ca,Foxglen Elementary School,7/15/25,7/15/25,4,9,44,not yet proficient
"Grade 4, Module 2, Topic A Quiz 3",open,TQ,FALSE,4,2,em2ca,Driftwood Elementary School,6/28/25,6/28/25,17,17,100,advanced
"Grade 5, Module 2, Topic E Quiz 3",open,TQ,FALSE,5,2,em2ca,Marigold Elementary School,5/11/25,5/11/25,10,13,77,proficient
"Grade 5, Module 5, Topic F Quiz 1",open,TQ,FALSE,5,5,em2ca,Crescent Cove Elementary School,10/6/25,10/6/25,9,9,100,advanced
"Grade 5, Module 3, Topic E Quiz 2",open,TQ,FALSE,5,3,em2ca,Copperfield Elementary School,11/24/25,11/24/25,3,6,50,partially proficient
"Grade 5, Module 2, Topic E Quiz 2",open,TQ,FALSE,5,2,em2ca,Driftwood Elementary School,3/7/25,3/7/25,12,12,100,advanced
"Grade 4, Module 4, Topic A Quiz 3",open,TQ,FALSE,4,4,em2ca,Birchwood Elementary School,8/17/25,8/17/25,4,15,27,not yet proficient
"Grade 3, Module 6, Topic E Quiz 1",open,TQ,FALSE,3,6,em2ca,Sequoia Elementary School,2/13/25,2/13/25,11,18,61,partially proficient
"Grade 4, Module 1, Topic C Quiz 3",open,TQ,FALSE,4,1,em2ca,Songbird Meadows Elementary School,2/15/25,2/15/25,10,14,71,proficient
"Grade 4, Module 2, Topic C Quiz 1",open,TQ,FALSE,4,2,em2ca,Heritage Pines Elementary School,11/15/25,11/15/25,13,13,100,advanced
"Grade 4, Module 3, Topic C Quiz 1",open,TQ,FALSE,4,3,em2ca,Crescent Cove Elementary School,4/8/25,4/8/25,14,17,82,advanced
"Grade 4, Module 4, Topic A Quiz 2",open,TQ,FALSE,4,4,em2ca,Crescent Cove Elementary School,9/14/25,9/14/25,6,7,86,advanced
"Grade 4, Module 2, Topic D Quiz 1",open,TQ,FALSE,4,2,em2ca,Thornberry Elementary School,1/2/25,1/2/25,3,7,43,not yet proficient
"Grade 5, Module 3, Topic A Quiz 2",open,TQ,FALSE,5,3,em2ca,Cobblestone Elementary School,4/9/25,4/9/25,2,15,13,not yet proficient
"Grade 4, Module 2, Topic A Quiz 1",open,TQ,FALSE,4,2,em2ca,Aspen Grove Elementary School,2/5/25,2/5/25,9,9,100,advanced
"Grade 3, Module 5, Topic C Quiz 2",open,TQ,FALSE,3,5,em2ca,Heritage Pines Elementary School,7/25/25,7/25/25,5,6,83,advanced
"Grade 4, Module 3, Topic D Quiz 1",open,TQ,FALSE,4,3,em2ca,Sequoia Elementary School,8/7/25,8/7/25,8,8,100,advanced
"Grade 5, Module 1, Topic C Quiz 3",open,TQ,FALSE,5,1,em2ca,Driftwood Elementary School,5/25/25,5/25/25,14,15,93,advanced
"Grade 3, Module 3, Topic E Quiz 2",open,TQ,FALSE,3,3,em2ca,Sunflower Ridge Elementary School,11/24/25,11/24/25,2,11,18,not yet proficient
"Grade 3, Module 4, Topic D Quiz 2",open,TQ,FALSE,3,4,em2ca,Hawthorn Park Elementary School,10/14/25,10/14/25,8,17,47,partially proficient
"Grade 4, Module 4, Topic C Quiz 3",open,TQ,FALSE,4,4,em2ca,Wildflower Elementary School,4/8/25,4/8/25,5,12,42,not yet proficient
"Grade 4, Module 6, Topic B Quiz 1",open,TQ,FALSE,4,6,em2ca,Periwinkle Elementary School,5/27/25,5/27/25,4,8,50,partially proficient
"Grade 5, Module 1, Topic C Quiz 3",open,TQ,FALSE,5,1,em2ca,Songbird Meadows Elementary School,10/5/25,10/5/25,12,12,100,advanced
"Grade 4, Module 4, Topic F Quiz 3",open,TQ,FALSE,4,4,em2ca,Cobblestone Elementary School,6/15/25,6/15/25,1,9,11,not yet proficient
"Grade 5, Module 5, Topic E Quiz 3",open,TQ,FALSE,5,5,em2ca,Copperfield Elementary School,6/18/25,6/18/25,10,17,59,partially proficient
"Grade 4, Module 1, Topic D Quiz 3",open,TQ,FALSE,4,1,em2ca,Copperfield Elementary School,11/21/25,11/21/25,6,11,55,partially proficient
"Grade 4, Module 1, Topic E Quiz 1",open,TQ,FALSE,4,1,em2ca,Sunflower Ridge Elementary School,6/12/25,6/12/25,4,14,29,not yet proficient
"Grade 5, Module 3, Topic C Quiz 3",open,TQ,FALSE,5,3,em2ca,Periwinkle Elementary School,8/18/25,8/18/25,6,8,75,proficient
"Grade 4, Module 6, Topic D Quiz 1",open,TQ,FALSE,4,6,em2ca,Cobblestone Elementary School,3/1/25,3/1/25,4,13,31,not yet proficient
"Grade 3, Module 6, Topic B Quiz 3",open,TQ,FALSE,3,6,em2ca,Marigold Elementary School,8/23/25,8/23/25,6,8,75,proficient
"Grade 4, Module 3, Topic D Quiz 1",open,TQ,FALSE,4,3,em2ca,Foxglen Elementary School,1/18/25,1/18/25,4,15,27,not yet proficient
"Grade 5, Module 2, Topic F Quiz 2",open,TQ,FALSE,5,2,em2ca,Foxglen Elementary School,9/5/25,9/5/25,8,11,73,proficient
"Grade 4, Module 3, Topic C Quiz 1",open,TQ,FALSE,4,3,em2ca,Thornberry Elementary School,11/25/25,11/25/25,6,15,40,not yet proficient
"Grade 3, Module 5, Topic B Quiz 2",open,TQ,FALSE,3,5,em2ca,Hawthorn Park Elementary School,1/5/25,1/5/25,7,8,88,advanced
"Grade 3, Module 5, Topic B Quiz 2",open,TQ,FALSE,3,5,em2ca,Cobblestone Elementary School,5/21/25,5/21/25,0,11,0,not yet proficient
"Grade 4, Module 1, Topic B Quiz 2",open,TQ,FALSE,4,1,em2ca,Heritage Pines Elementary School,7/1/25,7/1/25,11,13,85,advanced
"Grade 3, Module 4, Topic D Quiz 1",open,TQ,FALSE,3,4,em2ca,Lantern Hill Elementary School,8/18/25,8/18/25,5,16,31,not yet proficient
"Grade 4, Module 6, Topic E Quiz 1",open,TQ,FALSE,4,6,em2ca,Heritage Pines Elementary School,1/14/25,1/14/25,13,16,81,advanced
"Grade 3, Module 6, Topic D Quiz 2",open,TQ,FALSE,3,6,em2ca,Wildflower Elementary School,7/7/25,7/7/25,3,9,33,not yet proficient
"Grade 3, Module 4, Topic F Quiz 3",open,TQ,FALSE,3,4,em2ca,Crescent Cove Elementary School,5/2/25,5/2/25,10,16,63,partially proficient
"Grade 5, Module 3, Topic E Quiz 2",open,TQ,FALSE,5,3,em2ca,Marigold Elementary School,1/26/25,1/26/25,7,7,100,advanced
"Grade 3, Module 5, Topic E Quiz 2",open,TQ,FALSE,3,5,em2ca,Periwinkle Elementary School,7/10/25,7/10/25,4,8,50,partially proficient
"Grade 5, Module 4, Topic B Quiz 1",open,TQ,FALSE,5,4,em2ca,Riverbend Elementary School,10/5/25,10/5/25,3,6,50,partially proficient
"Grade 5, Module 2, Topic A Quiz 2",open,TQ,FALSE,5,2,em2ca,Thornberry Elementary School,10/2/25,10/2/25,7,13,54,partially proficient
"Grade 5, Module 6, Topic C Quiz 3",open,TQ,FALSE,5,6,em2ca,Riverbend Elementary School,7/6/25,7/6/25,9,14,64,partially proficient
"Grade 4, Module 2, Topic C Quiz 2",open,TQ,FALSE,4,2,em2ca,Glacier Peak Elementary School,8/1/25,8/1/25,9,11,82,advanced
"Grade 3, Module 2, Topic E Quiz 2",open,TQ,FALSE,3,2,em2ca,Copperfield Elementary School,2/8/25,2/8/25,7,12,58,partially proficient
"Grade 4, Module 3, Topic E Quiz 2",open,TQ,FALSE,4,3,em2ca,Aspen Grove Elementary School,8/9/25,8/9/25,14,18,78,proficient
"Grade 4, Module 3, Topic B Quiz 1",open,TQ,FALSE,4,3,em2ca,Songbird Meadows Elementary School,8/16/25,8/16/25,7,10,70,proficient
"Grade 3, Module 5, Topic D Quiz 2",open,TQ,FALSE,3,5,em2ca,Aspen Grove Elementary School,1/3/25,1/3/25,7,12,58,partially proficient
"Grade 5, Module 1, Topic E Quiz 3",open,TQ,FALSE,5,1,em2ca,Marigold Elementary School,5/18/25,5/18/25,12,15,80,advanced
"Grade 3, Module 2, Topic F Quiz 3",open,TQ,FALSE,3,2,em2ca,Thornberry Elementary School,5/7/25,5/7/25,2,7,29,not yet proficient
"Grade 3, Module 5, Topic F Quiz 2",open,TQ,FALSE,3,5,em2ca,Lantern Hill Elementary School,2/3/25,2/3/25,10,16,63,partially proficient
"Grade 4, Module 6, Topic D Quiz 2",open,TQ,FALSE,4,6,em2ca,Lantern Hill Elementary School,6/18/25,6/18/25,6,12,50,partially proficient
"Grade 3, Module 6, Topic B Quiz 2",open,TQ,FALSE,3,6,em2ca,Driftwood Elementary School,2/6/25,2/6/25,9,11,82,advanced
"Grade 3, Module 6, Topic E Quiz 1",open,TQ,FALSE,3,6,em2ca,Cobblestone Elementary School,9/23/25,9/23/25,0,9,0,not yet proficient
"Grade 4, Module 2, Topic D Quiz 3",open,TQ,FALSE,4,2,em2ca,Crescent Cove Elementary School,2/22/25,2/22/25,7,8,88,advanced
"Grade 4, Module 3, Topic C Quiz 2",open,TQ,FALSE,4,3,em2ca,Sequoia Elementary School,6/16/25,6/16/25,6,7,86,advanced
"Grade 4, Module 1, Topic F Quiz 3",open,TQ,FALSE,4,1,em2ca,Foxglen Elementary School,9/16/25,9/16/25,8,17,47,partially proficient
"Grade 3, Module 6, Topic B Quiz 2",open,TQ,FALSE,3,6,em2ca,Marigold Elementary School,11/2/25,11/2/25,5,14,36,not yet proficient
"Grade 4, Module 2, Topic B Quiz 1",open,TQ,FALSE,4,2,em2ca,Marigold Elementary School,6/18/25,6/18/25,12,13,92,advanced
"Grade 4, Module 6, Topic D Quiz 1",open,TQ,FALSE,4,6,em2ca,Riverbend Elementary School,1/2/25,1/2/25,5,15,33,not yet proficient
"Grade 3, Module 5, Topic B Quiz 1",open,TQ,FALSE,3,5,em2ca,Wildflower Elementary School,10/16/25,10/16/25,4,10,40,not yet proficient
"Grade 4, Module 2, Topic C Quiz 3",open,TQ,FALSE,4,2,em2ca,Songbird Meadows Elementary School,11/19/25,11/19/25,14,16,88,advanced
"Grade 5, Module 4, Topic A Quiz 1",open,TQ,FALSE,5,4,em2ca,Heritage Pines Elementary School,4/18/25,4/18/25,15,18,83,advanced
"Grade 4, Module 2, Topic F Quiz 1",open,TQ,FALSE,4,2,em2ca,Copperfield Elementary School,11/20/25,11/20/25,5,8,63,partially proficient
"Grade 5, Module 5, Topic E Quiz 3",open,TQ,FALSE,5,5,em2ca,Quartz Creek Elementary School,5/4/25,5/4/25,3,6,50,partially proficient
"Grade 3, Module 3, Topic E Quiz 3",open,TQ,FALSE,3,3,em2ca,Riverbend Elementary School,5/26/25,5/26/25,5,13,38,not yet proficient
"Grade 3, Module 2, Topic D Quiz 1",open,TQ,FALSE,3,2,em2ca,Cobblestone Elementary School,11/9/25,11/9/25,1,16,6,not yet proficient
"Grade 5, Module 6, Topic C Quiz 3",open,TQ,FALSE,5,6,em2ca,Sequoia Elementary School,9/12/25,9/12/25,14,15,93,advanced
"Grade 3, Module 1, Topic C Quiz 1",open,TQ,FALSE,3,1,em2ca,Glacier Peak Elementary School,11/9/25,11/9/25,4,7,57,partially proficient
"Grade 3, Module 3, Topic F Quiz 1",open,TQ,FALSE,3,3,em2ca,Quartz Creek Elementary School,9/12/25,9/12/25,3,15,20,not yet proficient
"Grade 3, Module 6, Topic F Quiz 2",open,TQ,FALSE,3,6,em2ca,Marigold Elementary School,11/4/25,11/4/25,3,9,33,not yet proficient
"Grade 4, Module 1, Topic C Quiz 2",open,TQ,FALSE,4,1,em2ca,Songbird Meadows Elementary School,7/24/25,7/24/25,5,6,83,advanced
"Grade 4, Module 5, Topic D Quiz 2",open,TQ,FALSE,4,5,em2ca,Quartz Creek Elementary School,3/14/25,3/14/25,4,10,40,not yet proficient
"Grade 5, Module 3, Topic B Quiz 3",open,TQ,FALSE,5,3,em2ca,Aspen Grove Elementary School,11/26/25,11/26/25,4,6,67,proficient
"Grade 4, Module 4, Topic A Quiz 1",open,TQ,FALSE,4,4,em2ca,Hawthorn Park Elementary School,10/18/25,10/18/25,10,15,67,proficient
"Grade 3, Module 3, Topic B Quiz 1",open,TQ,FALSE,3,3,em2ca,Sequoia Elementary School,7/13/25,7/13/25,8,9,89,advanced
"Grade 4, Module 4, Topic B Quiz 1",open,TQ,FALSE,4,4,em2ca,Sunflower Ridge Elementary School,10/28/25,10/28/25,3,16,19,not yet proficient
"Grade 3, Module 1, Topic C Quiz 3",open,TQ,FALSE,3,1,em2ca,Heritage Pines Elementary School,2/14/25,2/14/25,11,14,79,proficient
"Grade 5, Module 3, Topic A Quiz 2",open,TQ,FALSE,5,3,em2ca,Heritage Pines Elementary School,10/1/25,10/1/25,7,7,100,advanced
"Grade 5, Module 4, Topic B Quiz 3",open,TQ,FALSE,5,4,em2ca,Sequoia Elementary School,4/15/25,4/15/25,14,16,88,advanced
"Grade 5, Module 3, Topic B Quiz 3",open,TQ,FALSE,5,3,em2ca,Copperfield Elementary School,3/5/25,3/5/25,8,11,73,proficient
"Grade 3, Module 1, Topic D Quiz 3",open,TQ,FALSE,3,1,em2ca,Heritage Pines Elementary School,11/2/25,11/2/25,11,14,79,proficient
"Grade 3, Module 3, Topic F Quiz 1",open,TQ,FALSE,3,3,em2ca,Sunflower Ridge Elementary School,10/4/25,10/4/25,3,13,23,not yet proficient
"Grade 3, Module 2, Topic B Quiz 3",open,TQ,FALSE,3,2,em2ca,Heritage Pines Elementary School,8/1/25,8/1/25,9,11,82,advanced
"Grade 4, Module 4, Topic A Quiz 2",open,TQ,FALSE,4,4,em2ca,Cobblestone Elementary School,4/11/25,4/11/25,0,13,0,not yet proficient
"Grade 5, Module 1, Topic E Quiz 3",open,TQ,FALSE,5,1,em2ca,Foxglen Elementary School,3/13/25,3/13/25,4,9,44,not yet proficient
"Grade 4, Module 6, Topic C Quiz 3",open,TQ,FALSE,4,6,em2ca,Aspen Grove Elementary School,4/13/25,4/13/25,4,8,50,partially proficient
"Grade 4, Module 3, Topic A Quiz 2",open,TQ,FALSE,4,3,em2ca,Foxglen Elementary School,3/8/25,3/8/25,5,17,29,not yet proficient
"Grade 5, Module 4, Topic F Quiz 1",open,TQ,FALSE,5,4,em2ca,Foxglen Elementary School,5/14/25,5/14/25,6,14,43,not yet proficient
"Grade 4, Module 6, Topic D Quiz 2",open,TQ,FALSE,4,6,em2ca,Glacier Peak Elementary School,2/7/25,2/7/25,8,15,53,partially proficient
"Grade 4, Module 6, Topic E Quiz 3",open,TQ,FALSE,4,6,em2ca,Foxglen Elementary School,11/27/25,11/27/25,8,15,53,partially proficient
"Grade 5, Module 1, Topic B Quiz 1",open,TQ,FALSE,5,1,em2ca,Riverbend Elementary School,10/28/25,10/28/25,12,15,80,advanced
"Grade 5, Module 2, Topic E Quiz 2",open,TQ,FALSE,5,2,em2ca,Riverbend Elementary School,5/10/25,5/10/25,9,13,69,proficient
"Grade 5, Module 4, Topic B Quiz 2",open,TQ,FALSE,5,4,em2ca,Thornberry Elementary School,5/22/25,5/22/25,6,17,35,not yet proficient
"Grade 5, Module 3, Topic B Quiz 2",open,TQ,FALSE,5,3,em2ca,Riverbend Elementary School,2/12/25,2/12/25,7,15,47,partially proficient
"Grade 3, Module 3, Topic E Quiz 3",open,TQ,FALSE,3,3,em2ca,Aspen Grove Elementary School,10/5/25,10/5/25,4,10,40,not yet proficient
"Grade 3, Module 4, Topic F Quiz 1",open,TQ,FALSE,3,4,em2ca,Sunflower Ridge Elementary School,9/25/25,9/25/25,0,17,0,not yet proficient
"Grade 4, Module 2, Topic B Quiz 2",open,TQ,FALSE,4,2,em2ca,Sunflower Ridge Elementary School,10/6/25,10/6/25,3,7,43,not yet proficient
"Grade 5, Module 4, Topic E Quiz 1",open,TQ,FALSE,5,4,em2ca,Marigold Elementary School,5/14/25,5/14/25,10,18,56,partially proficient
"Grade 4, Module 5, Topic A Quiz 2",open,TQ,FALSE,4,5,em2ca,Aspen Grove Elementary School,5/24/25,5/24/25,8,17,47,partially proficient
"Grade 5, Module 4, Topic E Quiz 1",open,TQ,FALSE,5,4,em2ca,Copperfield Elementary School,8/18/25,8/18/25,12,18,67,proficient
"Grade 4, Module 4, Topic B Quiz 1",open,TQ,FALSE,4,4,em2ca,Thornberry Elementary School,4/20/25,4/20/25,1,10,10,not yet proficient
"Grade 5, Module 6, Topic F Quiz 1",open,TQ,FALSE,5,6,em2ca,Riverbend Elementary School,3/6/25,3/6/25,7,15,47,partially proficient
"Grade 4, Module 6, Topic F Quiz 2",open,TQ,FALSE,4,6,em2ca,Lantern Hill Elementary School,8/21/25,8/21/25,3,6,50,partially proficient
"Grade 3, Module 5, Topic C Quiz 1",open,TQ,FALSE,3,5,em2ca,Marigold Elementary School,5/12/25,5/12/25,3,6,50,partially proficient
"Grade 4, Module 4, Topic A Quiz 2",open,TQ,FALSE,4,4,em2ca,Periwinkle Elementary School,4/1/25,4/1/25,8,11,73,proficient
"Grade 4, Module 4, Topic D Quiz 3",open,TQ,FALSE,4,4,em2ca,Glacier Peak Elementary School,5/23/25,5/23/25,10,18,56,partially proficient
"Grade 3, Module 1, Topic E Quiz 1",open,TQ,FALSE,3,1,em2ca,Heritage Pines Elementary School,7/8/25,7/8/25,10,14,71,proficient
"Grade 5, Module 3, Topic F Quiz 3",open,TQ,FALSE,5,3,em2ca,Aspen Grove Elementary School,2/18/25,2/18/25,9,10,90,advanced
"Grade 3, Module 3, Topic E Quiz 2",open,TQ,FALSE,3,3,em2ca,Thornberry Elementary School,4/11/25,4/11/25,2,14,14,not yet proficient
"Grade 5, Module 6, Topic B Quiz 1",open,TQ,FALSE,5,6,em2ca,Riverbend Elementary School,2/28/25,2/28/25,8,14,57,partially proficient
"Grade 5, Module 1, Topic D Quiz 2",open,TQ,FALSE,5,1,em2ca,Sunflower Ridge Elementary School,2/3/25,2/3/25,3,8,38,not yet proficient
"Grade 4, Module 2, Topic B Quiz 2",open,TQ,FALSE,4,2,em2ca,Songbird Meadows Elementary School,9/10/25,9/10/25,13,15,87,advanced
"Grade 3, Module 1, Topic E Quiz 3",open,TQ,FALSE,3,1,em2ca,Birchwood Elementary School,6/21/25,6/21/25,2,12,17,not yet proficient
"Grade 4, Module 2, Topic B Quiz 1",open,TQ,FALSE,4,2,em2ca,Heritage Pines Elementary School,6/13/25,6/13/25,14,15,93,advanced
"Grade 4, Module 5, Topic A Quiz 3",open,TQ,FALSE,4,5,em2ca,Marigold Elementary School,4/2/25,4/2/25,6,8,75,proficient
"Grade 4, Module 5, Topic C Quiz 3",open,TQ,FALSE,4,5,em2ca,Foxglen Elementary School,6/24/25,6/24/25,4,9,44,not yet proficient
